"group","name","units","upperLimit","lowerLimit","relaxedUpperLimit","relaxedLowerLimit","pattern","materialKey","materialValue"
"PVTE","Power_up_magnetite","match","","","","","*","",""
"PVTE","Check_magnetite_fw","match","","","","","*","",""
"PVTE","Download_magnetite_fw(11F2)","match","","","","","*","",""
"PVTE","Read_magnetite_fw","match","","","","","*","",""
"PVTE","Power_up_DUT","match","","","","","*","",""
"PVTE","set_DUT_power_to_5V","match","","","","","*","",""
"PVTE","DutOpenPort","match","","","","","*","",""
"PVTE","Set_Puck_to_default_mode(close_loop)","match","","","","","*","",""
"PVTE","System_Reset","match","","","","","*","",""
"PVTE","ReOpenDutPort","match","","","","","*","",""
"PVTE","Set_Thermal_Trip_Threshold","match","","","","","*","",""
"PVTE","Check_Thermal_Threshold","match","","","","","*","",""
"PVTE","Set_Boost_voltage_close_to_6.7V_By_VG","match","","","","","*","",""
"PVTE","Disable_Boost","match","","","","","*","",""
"PVTE","Set_Boost_voltage_close_to_6.7V_By_SBU","match","","","","","*","",""
"PVTE","FINISH_DRCB","match","","","","","*","",""
"PVTE","read_Roswell_IDSN","match","","","","","*","",""
"PVTE","read_DUT_SN","match","","","","","*","",""
"PVTE","START_TEST_PROCESS","match","","","","","*","",""
"PVTE","Check_UOP","match","","","","","*","",""
"PVTE","AmIOK","match","","","","","*","",""
"PVTE","LinkSN","match","","","","","*","",""
"PVTE","GetConfig_SFC","match","","","","","*","",""
"PVTE","read_fixture_ID","match","","","","","*","",""
"PVTE","read_fixture_SW_version","match","","","","","*","",""
"PVTE","read_DUT_product_ID","match","","","","","*","",""
"PVTE","read_DUT_vendor_ID","match","","","","","*","",""
"PVTE","read_DUT_FW_version","match","","","","","*","",""
"PVTE","Check_FW_Version","match","","","","","*","",""
"PVTE","read_DUT_HW_version","match","","","","","*","",""
"PVTE","Set_TX_boost_on","match","","","","","*","",""
"PVTE","Disable_dummy_load","match","","","","","*","",""
"PVTE","Set_DAC_for_VBoost_Out_6.7V_1","match","","","","","*","",""
"PVTE","Enable_TX_LF_cap","match","","","","","*","",""
"PVTE","Enable_inverter_at_326kHz","match","","","","","*","",""
"PVTE","Set_frequency_to_326kHz_and_17%_duty_cycle","match","","","","","*","",""
"PVTE","Check_TX_boost_on_1","match","","","","","*","",""
"PVTE","Read_TX_current(average_from_10_measurements)","match","","","","","*","",""
"PVTE","Set_RX_load_to_50mA(CV)","match","","","","","*","",""
"PVTE","dummy_load_off_Step1_50mA(CV)","match","","","","","*","",""
"PVTE","dummy_load_off_Step2_50mA(CV)","match","","","","","*","",""
"PVTE","Set_Vrect_control_mode_50mA","match","","","","","*","",""
"PVTE","Set_Vrect_4.5V_1_50mA(CV)","match","","","","","*","",""
"PVTE","Set_Vrect_4.5V_1_50mA(CV)_BPA","","","","","","","",""
"PVTE","Set_Vrect_4.5V_1_50mA(CV)_SBU","","","","","","","",""
"PVTE","mute_ASK_50mA","match","","","","","*","",""
"PVTE","read_RX_Vrec_50mA","V","5.2","4","","","","",""
"PVTE","read_RX_current_Irec_50mA","A","0.055","0.045","","","","",""
"PVTE","Read_TX_boost_voltage_50mA","match","","","","","*","",""
"PVTE","read_TX_voltage_50mA","V","5.01","4.99","","","","",""
"PVTE","read_TX_current_50mA","A","0.203","0.165","","","","",""
"PVTE","Calculate_DC-DC_efficiency_50mA","%","27.2","22.1","","","","",""
"PVTE","Calculate_Prect_50mA","","","","","","","",""
"PVTE","Read_TX_duty_cycle_50mA","","","","","","","",""
"PVTE","unmute_ASK_50mA","match","","","","","*","",""
"PVTE","Measure_board_temperature_50mA","match","","","","","*","",""
"PVTE","Enable_comm_caps_ZTN1_and_ZTP1_50mA","match","","","","","*","",""
"PVTE","Switching_in_comm_cap_50mA","match","","","","","*","",""
"PVTE","read_RX_Vrec_50mA_2","V","","","","","","",""
"PVTE","read_RX_current_Irec_50mA_2","A","","","","","","",""
"PVTE","read_TX_voltage_50mA_2","V","","","","","","",""
"PVTE","read_TX_current_50mA_2","A","","","","","","",""
"PVTE","Calculate_DC-DC_efficiency_50mA_2","%","","","","","","",""
"PVTE","Default_comm_cap_50mA","match","","","","","*","",""
"PVTE","set_RX_load_to_245mA_0.7C","match","","","","","*","",""
"PVTE","dummy_load_off_Step1_245mA_0.7C","match","","","","","*","",""
"PVTE","dummy_load_off_Step2_245mA_0.7C","match","","","","","*","",""
"PVTE","Set_Vrect_control_mode_245mA","match","","","","","*","",""
